Date,FREN,ZG,SFSN,SLHN,LUKN,PM,PSPN,MOLN,GLKBN,MBTN1,BCGE,LUMX,DAE,FI-N,SGKN,PMN,PLAN,IGPH,BALN,WMN
2019-06-11,11.6384,6060.0,77.2208,367.6304,75.0603,389.3883,96.9864,15.6,24.1831,,182.7865,0.0665,137.2814,847.0148,375.7359,399.68,222.3465,1.17,136.1847,0.0
2019-06-12,11.5565,6040.0,77.5441,368.7213,74.8079,393.8031,96.3081,16.14,24.1014,,182.7865,0.067,137.6504,852.1567,372.3736,404.2115,222.3465,1.16,135.9477,0.0
2019-06-13,11.6384,6080.0,77.9136,369.033,74.892,392.9201,96.0538,15.68,24.5099,,182.7865,0.0665,138.7575,850.7544,374.0547,403.3052,223.2431,1.14,136.4217,0.0
2019-06-14,11.8023,6080.0,76.2047,369.8122,74.2189,388.5053,95.8842,15.44,24.5099,,182.7865,0.067,137.4659,836.731,373.2142,398.7737,222.3465,1.13,136.1847,0.0
2019-06-17,11.8023,6040.0,76.3433,369.968,74.3871,391.5957,96.3081,14.92,24.5099,,182.7865,0.07,136.3588,844.6776,373.2142,401.9458,222.3465,1.14,136.6586,0.0
2019-06-18,11.8023,6120.0,77.1284,372.0719,74.8079,390.7127,96.8168,14.96,24.5099,,182.7865,0.07,139.1266,855.4289,377.417,401.0395,221.4499,1.14,137.6066,0.0
2019-06-19,11.8023,6160.0,76.9899,372.2277,74.892,400.8668,95.7995,14.98,24.5099,,183.7097,0.07,140.0491,848.8846,377.417,411.462,221.4499,1.2,137.6855,0.0
2019-06-20,11.8023,6220.0,78.0059,371.9161,75.2286,399.5424,95.8842,14.94,24.4282,,183.7097,0.07,140.6027,850.2869,371.533,410.1025,222.3465,1.4,137.1326,0.0
2019-06-21,11.8433,6220.0,77.0361,371.3706,74.5554,386.2979,96.2234,14.8,24.0197,,182.7865,0.09,141.8943,854.0265,368.591,396.5079,223.2431,1.5,136.3427,0.0
2019-06-24,11.8023,6240.0,76.528,373.7862,74.7237,393.8031,96.3929,14.5,24.5099,,183.7097,0.087,139.1266,850.2869,368.591,404.2115,223.2431,1.5,136.8166,0.0
2019-06-25,11.8023,6200.0,76.3895,374.7991,74.0506,386.2979,96.4777,14.5,24.2648,,184.1713,0.089,140.0491,846.0799,368.1707,396.5079,222.3465,1.5,136.3427,0.0
2019-06-26,11.5974,6200.0,76.5742,375.3446,74.0506,395.1275,95.969,14.4,23.938,,184.1713,0.09,138.204,848.8846,369.4316,405.571,223.2431,1.5,136.0267,0.0
2019-06-27,11.5974,6300.0,77.1746,374.5654,73.7981,390.2712,95.5451,14.5,24.0197,,183.7097,0.098,138.204,860.5708,369.8519,400.5863,223.2431,1.5,136.0267,0.0
2019-06-28,11.5974,6320.0,76.759,376.9809,74.2189,388.5053,96.732,14.56,24.1014,,185.556,0.109,137.0969,872.257,369.8519,398.7737,221.4499,1.55,136.5006,0.0
